"s","p","o"
"http://ufs.br/ontologies/mpl2kdl#alias0x7f215761fca0","http://ufs.br/ontologies/mpl2kdl#_name","socket_accepted_connection"
"http://ufs.br/ontologies/mpl2kdl#Constant0x7f215761f640","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Constant"
"http://ufs.br/ontologies/mpl2kdl#While0x7f215761f5e0","http://ufs.br/ontologies/mpl2kdl#_body","http://ufs.br/ontologies/mpl2kdl#Assign0x7f215761ed10"
"http://ufs.br/ontologies/mpl2kdl#Assign0x7f215761efb0","http://ufs.br/ontologies/mpl2kdl#_targets","http://ufs.br/ontologies/mpl2kdl#Name0x7f215761ef80"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f215761f730","http://ufs.br/ontologies/mpl2kdl#_ctx","http://ufs.br/ontologies/mpl2kdl#Load0x7f215761c820"
"http://ufs.br/ontologies/mpl2kdl#ImportFrom0x7f215761fd30","http://ufs.br/ontologies/mpl2kdl#_names","http://ufs.br/ontologies/mpl2kdl#alias0x7f215761fc40"
"http://ufs.br/ontologies/mpl2kdl#Expr0x7f215761fa60","http://ufs.br/ontologies/mpl2kdl#_value","http://ufs.br/ontologies/mpl2kdl#Call0x7f215761fa30"
"http://ufs.br/ontologies/mpl2kdl#While0x7f215761f5e0","http://ufs.br/ontologies/mpl2kdl#_body","http://ufs.br/ontologies/mpl2kdl#Assign0x7f215761f490"
"http://ufs.br/ontologies/mpl2kdl#Assign0x7f215761f490","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Assign"
"http://ufs.br/ontologies/mpl2kdl#alias0x7f215761fc40","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#alias"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f215761ee60","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Name"
"http://ufs.br/ontologies/mpl2kdl#Constant0x7f215761ec20","http://ufs.br/ontologies/mpl2kdl#_value","""" + locker_state + """"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f215761ee60","http://ufs.br/ontologies/mpl2kdl#_ctx","http://ufs.br/ontologies/mpl2kdl#Load0x7f215761c820"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f215761ed40","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Name"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f215761f0a0","http://ufs.br/ontologies/mpl2kdl#_ctx","http://ufs.br/ontologies/mpl2kdl#Load0x7f215761c820"
"http://ufs.br/ontologies/mpl2kdl#ImportFrom0x7f215761fd30","http://ufs.br/ontologies/mpl2kdl#_names","http://ufs.br/ontologies/mpl2kdl#alias0x7f215761fcd0"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f215761ed40","http://ufs.br/ontologies/mpl2kdl#_id","motor"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f215761f2b0","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Name"
"http://ufs.br/ontologies/mpl2kdl#Compare0x7f215761f040","http://ufs.br/ontologies/mpl2kdl#_left","http://ufs.br/ontologies/mpl2kdl#Name0x7f215761f010"
"http://ufs.br/ontologies/mpl2kdl#Expr0x7f215761f910","http://ufs.br/ontologies/mpl2kdl#_value","http://ufs.br/ontologies/mpl2kdl#Call0x7f215761f8e0"
"http://ufs.br/ontologies/mpl2kdl#Expr0x7f215761f910","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Expr"
"http://ufs.br/ontologies/mpl2kdl#Store0x7f215761c880","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Store"
"http://ufs.br/ontologies/mpl2kdl#Call0x7f215761f430","http://ufs.br/ontologies/mpl2kdl#_args","http://ufs.br/ontologies/mpl2kdl#Constant0x7f215761f3a0"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f215761ece0","http://ufs.br/ontologies/mpl2kdl#_id","response"
"http://ufs.br/ontologies/mpl2kdl#ImportFrom0x7f215761fd30","http://ufs.br/ontologies/mpl2kdl#_names","http://ufs.br/ontologies/mpl2kdl#alias0x7f215761fca0"
"http://ufs.br/ontologies/mpl2kdl#Name0x7f215761f730","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Name"
"http://ufs.br/ontologies/mpl2kdl#Call0x7f215761f520","http://ufs.br/ontologies/mpl2kdl#_func","http://ufs.br/ontologies/mpl2kdl#Name0x7f215761f4f0"
"http://ufs.br/ontologies/mpl2kdl#Call0x7f215761f8e0","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://ufs.br/ontologies/mpl2kdl#Call"
