"s","p","o"
"http://ufs.br/ontologies#_type","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property"
"http://ufs.br/ontologies#_type_comment","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property"
"http://ufs.br/ontologies#BitXor","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class"
"http://ufs.br/ontologies#Import","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class"
"http://ufs.br/ontologies#comprehension","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class"
"http://ufs.br/ontologies#LtE","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://ufs.br/ontologies#cmpop"
"http://ufs.br/ontologies#stmt","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class"
"http://ufs.br/ontologies#_generators","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#DictComp"
"http://ufs.br/ontologies#_module","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property"
"http://ufs.br/ontologies#_value","http://www.w3.org/2000/01/rdf-schema#range","http://ufs.br/ontologies#expr"
"http://ufs.br/ontologies#_names","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#Import"
"http://ufs.br/ontologies#_bases","http://www.w3.org/2000/01/rdf-schema#comment","constraining attribute"
"http://ufs.br/ontologies#_operand","http://www.w3.org/2000/01/rdf-schema#comment","constraining attribute"
"http://ufs.br/ontologies#Lt","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class"
"http://ufs.br/ontologies#_elts","http://www.w3.org/2000/01/rdf-schema#range","http://ufs.br/ontologies#expr"
"http://ufs.br/ontologies#_decorator_list","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#AsyncFunctionDef"
"http://ufs.br/ontologies#_orelse","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#IfExp"
"http://ufs.br/ontologies#_elt","http://www.w3.org/2000/01/rdf-schema#comment","constraining attribute"
"http://ufs.br/ontologies#_id","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/2001/XMLSchema#string"
"http://ufs.br/ontologies#Tuple","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class"
"http://ufs.br/ontologies#_body","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#Lambda"
"http://ufs.br/ontologies#_iter","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#For"
"http://ufs.br/ontologies#_op","http://www.w3.org/2000/01/rdf-schema#range","http://ufs.br/ontologies#unaryop"
"http://ufs.br/ontologies#_targets","http://www.w3.org/2000/01/rdf-schema#comment","constraining attribute"
"http://ufs.br/ontologies#_ctx","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#Starred"
"http://ufs.br/ontologies#Lt","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://ufs.br/ontologies#cmpop"
"http://ufs.br/ontologies#Invert","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class"
"http://ufs.br/ontologies#_names","http://www.w3.org/2000/01/rdf-schema#comment","constraining attribute"
"http://ufs.br/ontologies#Assign","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class"
"http://ufs.br/ontologies#_ctx","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#List"
"http://ufs.br/ontologies#_argtypes","http://www.w3.org/2000/01/rdf-schema#comment","constraining attribute"
"http://ufs.br/ontologies#_value","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#Return"
"http://ufs.br/ontologies#_finalbody","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#Try"
"http://ufs.br/ontologies#_type_comment","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#Assign"
"http://ufs.br/ontologies#_names","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/2001/XMLSchema#string"
"http://ufs.br/ontologies#MatMult","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://ufs.br/ontologies#operator"
"http://ufs.br/ontologies#Gt","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class"
"http://ufs.br/ontologies#_values","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#Dict"
"http://ufs.br/ontologies#_right","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#BinOp"
"http://ufs.br/ontologies#Param","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class"
"http://ufs.br/ontologies#_lower","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#Slice"
"http://ufs.br/ontologies#Del","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://ufs.br/ontologies#expr_context"
"http://ufs.br/ontologies#TypeIgnore","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class"
"http://ufs.br/ontologies#_attr","http://www.w3.org/2000/01/rdf-schema#comment","constraining attribute"
"http://ufs.br/ontologies#_simple","http://www.w3.org/2000/01/rdf-schema#comment","constraining attribute"
"http://ufs.br/ontologies#_optional_vars","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property"
"http://ufs.br/ontologies#_name","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property"
"http://ufs.br/ontologies#_tag","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/2001/XMLSchema#string"
"http://ufs.br/ontologies#BinOp","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class"
"http://ufs.br/ontologies#Module","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class"
"http://ufs.br/ontologies#_type_comment","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/2001/XMLSchema#string"
"http://ufs.br/ontologies#_handlers","http://www.w3.org/2000/01/rdf-schema#range","http://ufs.br/ontologies#excepthandler"
"http://ufs.br/ontologies#List","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class"
"http://ufs.br/ontologies#_keys","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property"
"http://ufs.br/ontologies#_vararg","http://www.w3.org/2000/01/rdf-schema#range","http://ufs.br/ontologies#arg"
"http://ufs.br/ontologies#BinOp","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://ufs.br/ontologies#expr"
"http://ufs.br/ontologies#_posonlyargs","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#arguments"
"http://ufs.br/ontologies#AugStore","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://ufs.br/ontologies#expr_context"
"http://ufs.br/ontologies#Is","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class"
"http://ufs.br/ontologies#_upper","http://www.w3.org/2000/01/rdf-schema#comment","constraining attribute"
"http://ufs.br/ontologies#_step","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property"
"http://ufs.br/ontologies#Return","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class"
"http://ufs.br/ontologies#Sub","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class"
"http://ufs.br/ontologies#Raise","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://ufs.br/ontologies#stmt"
"http://ufs.br/ontologies#_body","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#AsyncFor"
"http://ufs.br/ontologies#_op","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#AugAssign"
"http://ufs.br/ontologies#_left","http://www.w3.org/2000/01/rdf-schema#comment","constraining attribute"
"http://ufs.br/ontologies#_arg","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#keyword"
"http://ufs.br/ontologies#NamedExpr","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://ufs.br/ontologies#expr"
"http://ufs.br/ontologies#AugLoad","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class"
"http://ufs.br/ontologies#Load","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://ufs.br/ontologies#expr_context"
"http://ufs.br/ontologies#Is","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://ufs.br/ontologies#cmpop"
"http://ufs.br/ontologies#_orelse","http://www.w3.org/2000/01/rdf-schema#range","http://ufs.br/ontologies#expr"
"http://ufs.br/ontologies#_type_comment","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#FunctionDef"
"http://ufs.br/ontologies#Gt","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://ufs.br/ontologies#cmpop"
"http://ufs.br/ontologies#RShift","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class"
"http://ufs.br/ontologies#DictComp","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class"
"http://ufs.br/ontologies#GeneratorExp","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class"
"http://ufs.br/ontologies#Div","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class"
"http://ufs.br/ontologies#_defaults","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#arguments"
"http://ufs.br/ontologies#_asname","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/2001/XMLSchema#string"
"http://ufs.br/ontologies#_body","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#ExceptHandler"
"http://ufs.br/ontologies#_ifs","http://www.w3.org/2000/01/rdf-schema#range","http://ufs.br/ontologies#expr"
"http://ufs.br/ontologies#_conversion","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property"
"http://ufs.br/ontologies#_argtypes","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#FunctionType"
"http://ufs.br/ontologies#_body","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#IfExp"
"http://ufs.br/ontologies#_module","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/2001/XMLSchema#string"
"http://ufs.br/ontologies#_handlers","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#Try"
"http://ufs.br/ontologies#_posonlyargs","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property"
"http://ufs.br/ontologies#Continue","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://ufs.br/ontologies#stmt"
"http://ufs.br/ontologies#_annotation","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property"
"http://ufs.br/ontologies#_ctx","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#Tuple"
"http://ufs.br/ontologies#_ops","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property"
"http://ufs.br/ontologies#_keywords","http://www.w3.org/2000/01/rdf-schema#comment","constraining attribute"
"http://ufs.br/ontologies#_simple","http://www.w3.org/2000/01/rdf-schema#range","http://ufs.br/ontologies#_int"
"http://ufs.br/ontologies#_generators","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property"
"http://ufs.br/ontologies#_context_expr","http://www.w3.org/2000/01/rdf-schema#range","http://ufs.br/ontologies#expr"
"http://ufs.br/ontologies#_name","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/2001/XMLSchema#string"
"http://ufs.br/ontologies#unaryop","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class"
"http://ufs.br/ontologies#_is_async","http://www.w3.org/2000/01/rdf-schema#comment","constraining attribute"
"http://ufs.br/ontologies#_cause","http://www.w3.org/2000/01/rdf-schema#range","http://ufs.br/ontologies#expr"
"http://ufs.br/ontologies#_defaults","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property"
"http://ufs.br/ontologies#Invert","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://ufs.br/ontologies#unaryop"
"http://ufs.br/ontologies#_kw_defaults","http://www.w3.org/2000/01/rdf-schema#range","http://ufs.br/ontologies#expr"
"http://ufs.br/ontologies#_ifs","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#comprehension"
"http://ufs.br/ontologies#_exc","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#Raise"
"http://ufs.br/ontologies#BitAnd","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://ufs.br/ontologies#operator"
"http://ufs.br/ontologies#_keywords","http://www.w3.org/2000/01/rdf-schema#range","http://ufs.br/ontologies#keyword"
"http://ufs.br/ontologies#_type_ignores","http://www.w3.org/2000/01/rdf-schema#comment","constraining attribute"
"http://ufs.br/ontologies#_value","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#DictComp"
"http://ufs.br/ontologies#_body","http://www.w3.org/2000/01/rdf-schema#range","http://ufs.br/ontologies#expr"
"http://ufs.br/ontologies#ImportFrom","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://ufs.br/ontologies#stmt"
"http://ufs.br/ontologies#_target","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#NamedExpr"
"http://ufs.br/ontologies#_key","http://www.w3.org/2000/01/rdf-schema#range","http://ufs.br/ontologies#expr"
"http://ufs.br/ontologies#_dims","http://www.w3.org/2000/01/rdf-schema#range","http://ufs.br/ontologies#slice"
"http://ufs.br/ontologies#_body","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#ClassDef"
"http://ufs.br/ontologies#Lambda","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class"
"http://ufs.br/ontologies#_finalbody","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property"
"http://ufs.br/ontologies#_level","http://www.w3.org/2000/01/rdf-schema#comment","constraining attribute"
"http://ufs.br/ontologies#_kind","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property"
"http://ufs.br/ontologies#_op","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#BoolOp"
"http://ufs.br/ontologies#_name","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#FunctionDef"
"http://ufs.br/ontologies#_context_expr","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#withitem"
"http://ufs.br/ontologies#_ctx","http://www.w3.org/2000/01/rdf-schema#comment","constraining attribute"
"http://ufs.br/ontologies#_keywords","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#Call"
"http://ufs.br/ontologies#_conversion","http://www.w3.org/2000/01/rdf-schema#comment","constraining attribute"
"http://ufs.br/ontologies#_attr","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#Attribute"
"http://ufs.br/ontologies#_format_spec","http://www.w3.org/2000/01/rdf-schema#comment","constraining attribute"
"http://ufs.br/ontologies#Or","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class"
"http://ufs.br/ontologies#_decorator_list","http://www.w3.org/2000/01/rdf-schema#comment","constraining attribute"
"http://ufs.br/ontologies#_returns","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/1999/02/22-rdf-syntax-ns#Property"
"http://ufs.br/ontologies#_args","http://www.w3.org/2000/01/rdf-schema#domain","http://ufs.br/ontologies#arguments"
"http://ufs.br/ontologies#_posonlyargs","http://www.w3.org/2000/01/rdf-schema#comment","constraining attribute"
"http://ufs.br/ontologies#_lower","http://www.w3.org/2000/01/rdf-schema#range","http://ufs.br/ontologies#expr"
"http://ufs.br/ontologies#Raise","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#Class"
